surveyid,year,region,prev,se,counts
TZ2012AIS,2012,Simiyu,0.035891838,0.008983618,746
TZ2017THIS,2017,Simiyu,0.0346,0.0149,300.9129318
TZ2003AIS,2003,Singida,0.032239366,0.011182251,532
TZ2007AIS,2007,Singida,0.02699972,0.009408982,456
TZ2012AIS,2012,Singida,0.032648834,0.012130386,667
TZ2017THIS,2017,Singida,0.0353,0.0296,77.73445489
TZ2003AIS,2003,Songwe,0.073571478,0.03478221,145
TZ2007AIS,2007,Songwe,0.070433081,0.021870298,181
TZ2012AIS,2012,Songwe,0.065010542,0.018507988,183
TZ2017THIS,2017,Songwe,0.0562,0.0227,205.8707136
TZ2003AIS,2003,Tabora,0.072443044,0.018434286,576
TZ2007AIS,2007,Tabora,0.064288903,0.012756082,596
TZ2012AIS,2012,Tabora,0.051447956,0.010565397,812
TZ2017THIS,2017,Tabora,0.0483,0.0087,1214.615141
TZ2003AIS,2003,Tanga,0.056750181,0.016137927,438
TZ2007AIS,2007,Tanga,0.047996143,0.014413371,474
TZ2012AIS,2012,Tanga,0.023885217,0.008010317,491
TZ2017THIS,2017,Tanga,0.0545,0.0195,271.0309007
TZ2007AIS,2007,Zanzibar,0.006259186,0.001583493,4275
TZ2012AIS,2012,Zanzibar,0.009774656,0.004040952,2590
TZ2017THIS,2017,Zanzibar,0.0042,0.0035,682.8342857
